"filename", "language", "JSON", "C++", "comment", "blank", "total"
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\helper\SimPlayerSaveHelper.cpp", "C++", 0, 1, 0, 0, 1
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\manager\CFSPManager.cpp", "C++", 0, 2, 0, 0, 2
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\manager\CFSPManagerSp.cpp", "C++", 0, -3, 0, 0, -3
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\entrance\command\ComandManager.cpp", "C++", 0, 36, 1, 2, 39
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\entrance\command\ComandManager.h", "C++", 0, 0, 1, 0, 1
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\entrance\gui\GuiManager.cpp", "C++", 0, -50, 0, -2, -52
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\entrance\gui\OperateGroupGui.cpp", "C++", 0, 1, 0, 1, 2
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\entrance\gui\OperateSpGui.cpp", "C++", 0, 53, 0, 2, 55
"f:\Project\levilamina\1.4.x\CFSP\src\lang\zh_CN.json", "JSON", 1, 0, 0, 0, 1
"Total", "-", 1, 40, 2, 3, 46
