"filename", "language", "JSON", "C++", "comment", "blank", "total"
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\CFSP.cpp", "C++", 0, 3, 0, 0, 3
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\PermissionConfig.h", "C++", 0, -3, 0, -1, -4
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\base\OperateResult.h", "C++", 0, 7, 0, 2, 9
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\group\CFSPGroup.cpp", "C++", 0, 1, 0, 1, 2
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\group\CFSPGroup.h", "C++", 0, 2, 0, 1, 3
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\manager\CFSPManager.cpp", "C++", 0, 55, -1, 11, 65
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\manager\CFSPManager.h", "C++", 0, 10, 0, 0, 10
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\manager\CFSPManagerGroup.cpp", "C++", 0, 19, 0, 3, 22
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\manager\CFSPManagerSp.cpp", "C++", 0, 1, 0, 1, 2
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\entrance\gui\GuiManager.cpp", "C++", 0, 153, 0, 8, 161
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\entrance\gui\GuiManager.h", "C++", 0, 5, 0, 1, 6
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\entrance\gui\OperateGroupGui.cpp", "C++", 0, 4, 0, 1, 5
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\entrance\gui\OperateSpGui.cpp", "C++", 0, 4, 0, 1, 5
"f:\Project\levilamina\1.4.x\CFSP\src\lang\zh_CN.json", "JSON", 40, 0, 0, 0, 40
"Total", "-", 40, 261, -1, 29, 329
