"filename", "language", "C++", "JSON", "comment", "blank", "total"
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\PermissionConfig.h", "C++", 4, 0, 0, 0, 4
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\manager\CFSPGroupManager.cpp", "C++", 189, 0, 1, 12, 202
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\manager\CFSPManager.cpp", "C++", -84, 0, -5, -6, -95
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\manager\CFSPManager.h", "C++", 11, 0, 0, 1, 12
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\manager\CFSPManagerGroup.cpp", "C++", -276, 0, -1, -15, -292
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\manager\CFSPManagerSp.cpp", "C++", -419, 0, -12, -31, -462
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\manager\CFSPPermissionManager.cpp", "C++", 353, 0, 5, 14, 372
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\manager\CFSPSpManager.cpp", "C++", 321, 0, 12, 28, 361
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\simPlayer\SimPlayer.cpp", "C++", 1, 0, 0, 0, 1
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\entrance\command\SpCommand.cpp", "C++", 77, 0, 1, 1, 79
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\entrance\gui\GuiManager.cpp", "C++", 1, 0, 0, 0, 1
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\entrance\gui\OperateGroupGui.cpp", "C++", 1, 0, 0, 0, 1
"f:\Project\levilamina\1.4.x\CFSP\src\lang\zh_CN.json", "JSON", 0, 3, 0, 0, 3
"Total", "-", 179, 3, 1, 4, 187
