"filename", "language", "C++", "JSON", "comment", "blank", "total"
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\CFSP.cpp", "C++", 0, 0, 0, -1, -1
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\PermissionConfig.h", "C++", 4, 0, 0, 0, 4
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\manager\CFSPManager.h", "C++", 5, 0, 0, 1, 6
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\manager\CFSPManagerSp.cpp", "C++", 37, 0, 2, 1, 40
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\manager\CFSPManagerSpInv.cpp", "C++", 57, 0, 6, 3, 66
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\simPlayer\SimPlayer.cpp", "C++", -2, 0, -6, -2, -10
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\simPlayer\SimPlayer.h", "C++", 1, 0, 0, 0, 1
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\simPlayer\SimPlayerBase.cpp", "C++", -10, 0, 0, -1, -11
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\simPlayer\SimPlayerInv.cpp", "C++", 49, 0, 0, 2, 51
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\simPlayer\SimPlayerPermission.h", "C++", 4, 0, 0, 0, 4
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\entrance\command\SpCommand.cpp", "C++", 21, 0, 0, 0, 21
"f:\Project\levilamina\1.4.x\CFSP\src\lang\zh_CN.json", "JSON", 0, 1, 0, 0, 1
"Total", "-", 166, 1, 2, 3, 172
