"filename", "language", "JSON", "C++", "comment", "blank", "total"
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\base\Utils.cpp", "C++", 0, -16, 0, -2, -18
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\base\Utils.h", "C++", 0, -2, 0, -2, -4
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\helper\SimPlayerSaveHelper.cpp", "C++", 0, -1, 0, 0, -1
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\manager\CFSPManager.h", "C++", 0, 2, 0, 0, 2
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\manager\CFSPManagerSp.cpp", "C++", 0, 51, 0, 0, 51
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\simPlayer\SimPlayerSave.cpp", "C++", 0, 1, 0, 0, 1
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\simPlayer\SimPlayerSaveData.h", "C++", 0, -1, 0, 0, -1
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\entrance\command\ComandManager.cpp", "C++", 0, 1, 0, 0, 1
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\entrance\command\ComandManager.h", "C++", 0, 1, 0, 0, 1
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\entrance\command\SpCommand.cpp", "C++", 0, 100, 2, 4, 106
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\entrance\gui\GuiManager.h", "C++", 0, 6, 0, 0, 6
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\entrance\gui\OperateSpGui.cpp", "C++", 0, 13, 0, 0, 13
"f:\Project\levilamina\1.4.x\CFSP\src\lang\zh_CN.json", "JSON", 11, 0, 0, 0, 11
"Total", "-", 11, 155, 2, 0, 168
