"filename", "language", "JSON", "C++", "comment", "blank", "total"
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\entrance\gui\OperateSpGui.cpp", "C++", 0, 5, 0, 0, 5
"f:\Project\levilamina\1.4.x\CFSP\src\lang\zh_CN.json", "JSON", 2, 0, 0, 0, 2
"Total", "-", 2, 5, 0, 0, 7
